id,nom,sexe,niveau,promotion,batiment,etablissement,commune_origine,telephone,photo
7,ANDRIAMAMPIANINA Solo,M,L3,2021,PV G,DEGSP,Doany,0345678902,
13,ANDRIANARY Henintsoa,M,L1,2023,Bloc A,SCIENCES,Tsaratanana,0342345679,
3,ANDRIANTSOA Paul,M,M1,2020,PJ A,SCIENCES,Andapa,0345678901,
2,RABE Marie,F,L3,2021,Bloc B,ESP,Andapa,0349876543,
16,RABE Sarah,F,L1,2025,Bâtiment E,ISISFA,Marovato,0323682004,
11,RABEMANANTSOA Nivo,M,L3,2021,Bloc B,ENSET,Andapa,0340123456,
9,RAJAONARISON Mamy,M,M1,2020,Bloc B,IST,Andapa,0347890124,
1,RAKOTO Jean,M,L2,2022,Bloc A,ENSET,Andapa,0341234567,
15,RAKOTOARIVO Fidy,M,M1,2020,PV N,FLSH,Andapa,0344567891,
6,RAKOTOMALALA Lina,F,L2,2022,PJ Y,ENSET,Andapa,0344567890,
12,RAKOTONDRABE Vola,F,M2,2019,PJ Y,ESP,Andapa,0341234568,
10,RANDRIAMANANTENA Fara,F,L2,2022,PV S,ISISFA,Bealanana,0348901235,
8,RAVOLAHY Prisca,F,L1,2023,PJ A,ISAE,Andapa,0346789013,
4,RAZAFY Hanta,F,L1,2023,PJ F,FLSH,Sambava,0342345678,
14,RAZANAJATOVO Tiana,F,L2,2022,PJ F,AGRO,Andapa,0343456790,
